장비명,STR,DEX,명중률,합스텟,잠재 유무,판매가,재고,만료일,수수료 제외 금액
블루 네오스,15,3,0,18,X,"1,000,000",판매완료,26-05-27,"900,000"
블루 네오스,6,11,4,21,X,"1,000,000",판매중,26-05-27,
블루 네오스,11,7,2,20,X,"1,000,000",판매완료,26-05-27,"900,000"
블루 네오스,11,5,5,21,X,"1,000,000",판매완료,26-05-27,"900,000"
블루 네오스,11,7,3,21,X,"1,500,000",판매완료,26-05-26,"1,350,000"
블루 네오스,13,1,5,19,X,"1,500,000",판매중,26-05-27,
블루 네오스,14,6,0,20,X,"1,500,000",판매완료,26-05-27,"1,350,000"
블루 네오스,13,4,4,21,X,"1,500,000",판매중,26-05-27,
블루 네오스,14,5,2,21,X,"1,500,000",판매중,26-05-27,
블루 네오스,15,1,5,21,X,"1,500,000",판매완료,26-05-27,"1,350,000"
블루 네오스,13,8,0,21,X,"1,500,000",판매중,26-05-27,
블루 네오스,13,2,5,20,X,"2,000,000",판매완료,26-05-26,"1,800,000"
블루 네오스,12,7,4,23,X,"2,000,000",판매완료,26-05-27,"1,800,000"
블루 네오스,13,7,3,23,X,"2,000,000",판매완료,26-05-27,"1,800,000"
블루 네오스,12,5,5,22,X,"2,500,000",판매완료,26-05-26,"2,250,000"
블루 네오스,8,5,10,23,O,"2,500,000",판매완료,26-05-27,"2,250,000"
블루 네오스,16,2,1,19,X,"2,500,000",판매중,26-05-28,
블루 네오스,16,3,1,20,X,"2,500,000",판매완료,26-05-28,"2,250,000"
블루 네오스,15,1,7,23,X,"2,500,000",판매완료,26-05-27,"2,250,000"
블루 네오스,12,11,0,23,X,"2,700,000",판매완료,26-05-26,"2,430,000"
블루 네오스,15,5,2,22,X,"3,000,000",판매완료,26-05-27,"2,700,000"
블루 네오스,14,9,0,23,X,"3,000,000",판매완료,26-05-27,"2,700,000"
블루 네오스,16,4,0,20,X,"3,000,000",판매완료,26-05-27,"2,700,000"
블루 네오스,8,8,8,24,X,"3,000,000",판매완료,26-05-27,"2,700,000"
블루 네오스,11,9,4,24,X,"3,000,000",판매완료,26-05-27,"2,700,000"
블루 네오스,16,5,2,23,X,"4,500,000",판매완료,26-05-26,"4,050,000"
블루 네오스,11,10,5,26,X,"4,999,999",판매완료,26-05-27,"4,499,999"
블루 네오스,16,5,3,24,X,"5,000,000",판매완료,26-05-26,"4,500,000"
블루 네오스,13,5,8,26,X,"5,500,000",판매중,26-05-28,
블루 네오스,17,5,0,22,X,"7,000,000",판매완료,26-05-27,"6,300,000"
블루 네오스,11,9,7,27,X,"7,500,000",판매중,26-05-28,
블루 네오스,16,8,0,24,X,"9,900,000",판매완료,26-05-27,"8,910,000"
블루 네오스,15,7,3,25,X,"12,000,000",판매완료,26-05-27,"10,800,000"
블루 네오스,10,14,4,28,X,"15,000,000",판매중,26-05-28,
블루 네오스,15,9,3,27,X,"17,000,000",판매중,26-05-28,
블루 네오스,14,10,3,27,X,"19,000,000",판매완료,26-05-26,"17,100,000"
블루 네오스,13,11,5,29,X,"23,000,000",판매완료,26-05-27,"20,700,000"
블루 네오스,18,7,0,25,X,"25,000,000",판매완료,26-05-26,"22,500,000"
블루 네오스,17,3,8,28,X,"25,000,000",판매완료,26-05-27,"22,500,000"
블루 네오스,19,6,6,31,X,"39,000,000",판매완료,26-05-27,"35,100,000"
블루 네오스,17,8,7,32,X,"40,000,000",판매중,26-05-28,
블루 네오스,13,10,14,37,X,"55,000,000",판매중,26-05-28,
블루 네오스,13,9,16,38,X,"55,000,000",판매중,26-05-28,
블루 네오스 바지,7,4,7,18,미확인,"4,500,000",판매중,26-05-28,
블루 네오스 바지,4,9,6,19,미확인,"6,000,000",판매완료,26-05-27,"5,400,000"
블루 드래곤 부츠,13,2,3,18,X,"10,000,000",판매중,26-05-28,
블루 드래곤 부츠,10,7,6,23,X,"15,000,000",판매중,26-05-28,
블루 드래곤 부츠,7,11,8,26,X,"18,000,000",판매중,26-05-28,
블루 드래곤 부츠,10,13,6,29,X,"25,000,000",판매중,26-05-28,
블루 드래곤 부츠,12,7,5,24,X,"30,000,000",판매중,26-05-28,
블루 드래곤 부츠,2,8,19,29,X,"30,000,000",판매중,26-05-28,
블루 드래곤 부츠,13,12,9,34,X,"100,000,000",판매중,26-05-28,
장비명,공격력,STR,DEX,업횟,잠재 유무,판매가,재고,만료일,
그린 코르뱅,10,2,4,0,레어,"64,000,000",판매완료,26-05-26,"57,600,000"
그린 코르뱅 ,9,11,0,0,미확인,"32,000,000",판매중,26-05-28,
그린 코르뱅 ,9,8,8,0,미확인,"37,000,000",판매완료,26-05-28,"33,300,000"
다크 엠페러,8,5,11,0,X,"20,000,000",판매완료,26-05-27,"18,000,000"
다크 엠페러,8,3,6,0,미확인,"24,000,000",판매완료,26-05-27,"21,600,000"
다크 엠페러,8,10,13,0,X,"30,000,000",판매완료,26-05-27,"27,000,000"
다크 엠페러,9,5,2,0,X,"30,000,000",판매중,26-05-28,
다크 엠페러,9,4,0,0,X,"30,000,000",판매중,26-05-28,
다크 엠페러,9,3,4,0,X,"33,000,000",판매중,26-05-28,
다크 엠페러,9,6,5,0,X,"35,000,000",판매완료,26-05-28,"31,500,000"
다크 엠페러,10,0,6,0,미확인,"63,000,000",판매완료,26-05-27,"56,700,000"
다크 엠페러,10,0,5,0,미확인,"65,000,000",판매완료,26-05-27,"58,500,000"
다크 엠페러,10,3,9,0,미확인,"68,000,000",판매완료,26-05-26,"61,200,000"
다크 엠페러,11,6,0,0,유니크 15%,"165,000,000",판매중,26-05-28,
블러드 엠페러,9,0,4,0,미확인,"28,000,000",판매완료,26-05-27,"25,200,000"
블러드 엠페러,9,0,4,0,X,"30,000,000",판매중,26-05-28,
블러드 엠페러,9,7,0,0,미확인,"34,000,000",판매완료,26-05-28,"30,600,000"
블루 코르뱅,10,1,9,0,미확인,"65,000,000",판매완료,26-05-26,"58,500,000"
블루 코르뱅 ,8,9,3,0,X,"20,000,000",판매완료,26-05-27,"18,000,000"
블루 코르뱅 ,9,6,0,0,X,"30,000,000",판매중,26-05-28,
블루 코르뱅 ,9,4,3,0,미확인,"31,000,000",판매중,26-05-28,
블루 코르뱅 ,9,5,2,0,X,"31,000,000",판매중,26-05-28,
블루 코르뱅 ,9,4,5,0,X,"32,000,000",판매중,26-05-28,
블루 코르뱅 ,9,6,7,0,X,"33,000,000",판매중,26-05-28,
블루 코르뱅 ,9,3,0,0,미확인,"33,000,000",판매중,26-05-28,
블루 코르뱅 ,9,10,9,0,미확인,"35,000,000",판매완료,26-05-27,"31,500,000"
블루 코르뱅 ,10,3,1,0,미확인,"62,000,000",판매중,26-05-28,
블루 코르뱅 ,10,7,7,0,X,"65,000,000",판매완료,26-05-28,"58,500,000"
블루 코르뱅 ,10,9,10,0,미확인,"65,000,000",판매완료,26-05-28,"58,500,000"
블루 코르뱅 ,11,5,9,0,미확인,"130,000,000",판매중,26-05-28,
블루 코르뱅 ,11,5,13,0,미확인,"170,000,000",판매중,26-05-28,
블루 코르뱅 ,12,2,0,0,미확인,"230,000,000",판매중,26-05-28,
블루 코르뱅 ,12,7,0,0,레어,"240,000,000",판매중,26-05-28,
각종 기타 잔해물,8,,,,,"80,000,000",판매중,26-05-28,
,,,,,,,,받은 메소,"22,000,000"
,,,,,,,,총 금액,"867,639,999"
,,,,,,,5/23 22:45, 택포 1차 송금액,"231,789,200"
,,,,,,,5/24 14:25,혼줌 45장 구매,"80,550,000"
,,,,,,,5/24 15:45,혼줌 50장 구매,"87,500,000"
,,,,,,,5/24 23:05, 택포 2차 송금액,"120,000,000"
,,,,,,,5/24 23:05, 5천 세이브,"50,000,000"
,,,,,,,5/25 8:58,혼줌 50장 구매,"80,000,000"
,,,,,,,5/25 8:58,잔해물 장공 24장,"60,000,000"
,,,,,,,,남은금액,"157,800,799"
